名前,分類,緯度,経度,メモ
【宿】美ヶ原温泉 追分屋旅館,泊まる,36.245354,137.998961,11/14 チェックイン15:00／11/15 チェックアウト10:00。0263-33-3378。駐車35台無料
【起点】松本駅 お城口,起点,36.230938,137.965363,バス3番のりば・タウンスニーカー21/22番のりば・タクシー乗り場・コインロッカー
千歳橋,歩く,36.2343,137.9697,女鳥羽川。北が武家地、南が町人地だった境目
なわて通り・カエル大明神,歩く,36.23448,137.97033,24時間 歩行者天国・全長250m
中町通り,歩く,36.2338,137.9715,なまこ壁の蔵並み。全長400m
源智の井戸,歩く,36.232406,137.972853,毎分約200L。松本市特別史跡
四柱神社,見る,36.234898,137.970356,境内自由／社務所9:00-16:30
松本市立博物館,見る,36.23518,137.969543,1階は無料。9:00-17:00・火曜休
国宝 松本城,見る,36.238808,137.969513,"8:30-17:00（最終16:30）／大人1,200円（電子）。お堀端は無料"
国宝 旧開智学校校舎,見る,36.242748,137.967834,9:00-17:00（入館16:30）／一般700円。3〜11月は第3火曜休
中町・蔵シック館,見る,36.233761,137.971344,無料。9:00-17:00（夏期17:30）
松本市はかり資料館,見る,36.233871,137.97261,無料。9:00-17:00（入館16:30）・火曜休
松本民芸館,見る,36.242893,137.995071,大人500円・小中無料。9:00-17:00（入館16:30）・火曜休。宿まで徒歩7分
女鳥羽そば,食べる,36.234463,137.973099,11:00-19:00頃・水曜と第3火曜休。手打ち。小上がりと椅子席
珈琲まるも,食べる,36.234283,137.972458,9:00-16:00（LO15:30）・月火休。自家製プリン300円
たい焼き ふるさと,食べる,36.234699,137.970963,10:00-17:00・火水休。1946年創業の一本焼き
翁堂 本店,食べる,36.235126,137.972504,9:00-19:00・第1第3水曜休。タヌキケーキ
開運堂 本店,食べる,36.232536,137.969208,9:00-18:00・元旦のみ休。真味糖・開運老松
ちきりや工芸店,買う,36.233883,137.973175,10:00-17:30・火水休
陶片木,買う,36.233822,137.973297,火水休。うつわ屋
ふれあい山辺館 白糸の湯,浸る,36.24602,137.998762,10-3月 7:00-22:00／大人400円。宿から徒歩2分
バス停「本町」,乗る,36.23344,137.96938,美ヶ原温泉行き。中町の西端から北へ2分
バス停「大名町」,乗る,36.23497,137.96955,美ヶ原温泉行き。千歳橋のすぐ北
松本バスターミナル 3番のりば,乗る,36.23011,137.96667,美ヶ原温泉行きの始発
タクシー乗り場（松本駅お城口）,乗る,36.23084,137.96509,配車 アルピコタクシー 0263-87-0555
人力車 乗り場（松本城 黒門前）,乗る,36.23845,137.96945,9:30-16:30・火曜休・要予約 080-4806-8177
松本城大手門駐車場（立体）,停める,36.23515,137.96868,437台・7:30-22:30・30分150円
蔵のある街 中町駐車場,停める,36.2337,137.971,約10台・1時間300円・5分以内無料
